covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
COL2A1,-0.022603884046965776,0.9776496697136027,0.03883924358385295,-0.09872740265809593,0.05351963456416437,0.905989644733821,1.0549777055916896,0.0,-0.5819856918213291,0.5605763185717105,0.8350172955772347
DLX6,0.048202608522608416,1.049383247776704,0.03789153079455832,-0.026063427153816272,0.12246864419903311,0.9742732922669876,1.1302836785683044,0.0,1.272120907016269,0.2033301639049663,2.2981038409045915
KIF1A,-0.02242534051340717,0.9778242383238003,0.024632940079591353,-0.07070501590273943,0.025854334875925093,0.931736699102825,1.0261914572799304,0.0,-0.9103801836463199,0.3626220447049028,1.463461462084096
CD1A,-0.09495496057090727,0.9094138930284004,0.03985376025928905,-0.1730668953276075,-0.016843025814207047,0.8410813485503122,0.9832980249277266,0.0,-2.382584728595975,0.01719157529271807,5.862154442348803
LOC440905,0.047043746899733854,1.0481678621710537,0.03827241764494563,-0.027968813285634844,0.12205630708510255,0.9724186928723771,1.1298177167316419,0.0,1.2291814783210224,0.2190037716621939,2.1909723788897377
IRX1,-0.043131722544477454,0.9577852198512604,0.0407810387212172,-0.12306108969019655,0.03679764460124165,0.8842096448176033,1.0374830592972788,0.0,-1.057641587781266,0.29021887489409104,1.7847867442263834
IGF2BP1,0.10407026104262929,1.1096784193393456,0.027579174581149894,0.050016072140232966,0.1581244499450256,1.0512879926882874,1.1713119553459803,0.0,3.77350891109556,0.0001609674671655064,12.600943242151414
DLL3,-0.0016897323116991498,0.998311694482197,0.03595561541378509,-0.07216144356469116,0.06878197894129286,0.9303806797123682,1.0712026389542262,0.0,-0.046994948973987524,0.9625172532174784,0.05511569350861048
SFTPD,-0.10255880161453827,0.9025250782608332,0.03881252485271144,-0.17862995247491847,-0.026487650754158085,0.8364153555690275,0.9738600701986991,0.0,-2.642415096769298,0.008231710084842421,6.924592112260798
PEBP4,-0.06855771100424989,0.933739571500176,0.034713786002211644,-0.1365954813356154,-0.0005199406728843975,0.8723230257155649,0.9994801944728438,0.0,-1.9749419150040857,0.04827474003646551,4.372587699611992
SFTPA2,-0.03785308706235692,0.9628543862672763,0.028800108104160907,-0.09430026169737243,0.018594087572658596,0.910009480223602,1.018768034071837,0.0,-1.3143383672538396,0.18873236124312892,2.4055862771313485
GKN2,-0.03234308144548994,0.9681743624335081,0.03146092729667132,-0.0940053658671988,0.029319202976218928,0.910277877797456,1.0297532423193747,0.0,-1.0280396741170421,0.3039311655804545,1.718183476219882
SCGB3A2,-0.04068563557311781,0.9601309135146635,0.027499695736611093,-0.09458404880268523,0.013212777656449605,0.9097512679077979,1.013300452118667,0.0,-1.4794940265085157,0.13900832668455132,2.8467567910269755
CLDN18,-0.05746370921017527,0.9441561539372371,0.028359801804200432,-0.11304789935510216,-0.0018795190652483723,0.8931078797999699,0.9981222461246341,0.0,-2.026238039564303,0.042740397248660925,4.548255872651831
VSIG1,-0.004263388427729435,0.9957456869109014,0.034263742508355725,-0.07141908971966074,0.06289231286420188,0.9310716078121303,1.064912155716521,0.0,-0.12442856838215335,0.9009759548120612,0.15043949088660954
DMBT1,-0.058390472282326654,0.9432815502172378,0.029167181135947694,-0.1155570968393402,-0.0012238477253131083,0.890869704940495,0.998776900870894,0.0,-2.001923737853505,0.04529293419605583,4.464570185759222
MAGEA6,0.012430216417625097,1.012507792654294,0.022628656324009302,-0.031921134995967666,0.056781567831217857,0.9685829663666826,1.05842459116462,0.0,0.5493130586121666,0.5827906272134566,0.7789504195806812
SFTPA1,-0.03793810016207492,0.9627725345106077,0.026932036191495173,-0.09072392112773474,0.014847720803584902,0.913269810597348,1.0149584957830764,0.0,-1.408660670597767,0.15893552961887925,2.653486423472207
MAGEA3,0.013262101422732799,1.0133504331459582,0.023404932237050025,-0.03261072282248573,0.059134925667951324,0.9679152735869688,1.0609183762041692,0.0,0.5666370356645973,0.5709608072674732,0.8085363774979664
COL17A1,0.0680089232319207,1.0703748596392753,0.03478591495425745,-0.0001702172476971825,0.13618806371153858,0.9998297972384365,1.1458973750454995,0.0,1.9550707037992423,0.050574725572658685,4.3054396032865405
HP,-0.06868605779131802,0.9336197367165847,0.03299749694749801,-0.1333599633883845,-0.00401215219425155,0.8751500134395982,0.9959958857349718,0.0,-2.081553576642608,0.037383265521309564,4.741463592183686
CLDN6,0.04798076853341307,1.049150478428085,0.026522002176743983,-0.004001400530898057,0.0999629375977242,0.9960065944050045,1.1051299585455323,0.0,1.8090930018656497,0.07043655611176142,3.8275318172601227
LY6K,0.0949362628514006,1.099588768239838,0.033241392840092816,0.02978433008887106,0.16008819561393012,1.0302323198790628,1.1736143740677225,0.0,2.8559652511580955,0.004290620899711767,7.864597848098535
MAGEA2,0.006485363886764673,1.0065064393952834,0.02524033721701801,-0.042984788016236564,0.0559555157897659,0.9579259619103763,1.0575506383853004,0.0,0.25694442316689775,0.7972216767577641,0.3269471567553446
MAGEA12,0.0024518219923603387,1.002454830165901,0.02761811606928173,-0.051678690824278777,0.056582334808999456,0.9496339439279919,1.0582137390395825,0.0,0.08877585951951948,0.9292600432371259,0.10584571938698852
MAGEA4,0.025701158142482947,1.0260342806628258,0.026043797881863257,-0.02534374772660958,0.07674606401157548,0.9749747090792595,1.079767849659883,0.0,0.9868437107009296,0.32371926257510675,1.6271848807312037
MSLN,-0.008129833882657471,0.9919031238427356,0.029140906031586818,-0.06524496018143366,0.04898529241611872,0.9368379472738599,1.0502049046497135,0.0,-0.2789835660512843,0.7802574366503029,0.35797789232008365
SFTPC,-0.04479947179343716,0.9561892055159712,0.021455069912885344,-0.08685063610848134,-0.0027483074783929695,0.9168140243172681,0.9972554656612309,0.0,-2.088059930605576,0.036792428943461124,4.764447267228084
PGC,-0.05801970293314874,0.9436313549481322,0.02312739016126217,-0.10334855470562859,-0.012690851160668891,0.9018125876733444,0.9873893381091108,0.0,-2.508700831723346,0.012117606355325484,6.366751444788275
