covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PRAME,0.05159737913430519,1.0529517168265348,0.030514683506990027,-0.008210301539033654,0.11140505980764404,0.9918233109342297,1.117847610300287,0.0,1.6909033030765577,0.09085527235044849,3.460285952991269
COL2A1,0.011500831677381957,1.0115672205068265,0.044589594284619276,-0.07589316720572485,0.09889483056048877,0.9269152262136876,1.103950191630584,0.0,0.25792635842280026,0.7964637418601099,0.3283194087541761
DLX6,0.01982300024513268,1.0200207806196127,0.04536112493706657,-0.06908317092973953,0.10872917142000488,0.9332490576584784,1.11486037339948,0.0,0.4370041587953308,0.6621083319865675,0.5948608095266763
KIF1A,-0.00681266157848224,0.9932104919914271,0.02835453384986701,-0.06238652672264342,0.048761203565678944,0.9395196671407616,1.0499695918063812,0.0,-0.2402670985371954,0.8101231995817115,0.30378677218637457
CD1A,-0.048471222131061274,0.9526847551483718,0.04563331911466234,-0.1379108840908227,0.04096843982870014,0.8711763239567776,1.0418192250334195,0.0,-1.0621892746672266,0.2881497678800442,1.7951092373298456
LOC440905,0.08579987101738014,1.0895882482961854,0.04079312889586244,0.005846807564789586,0.1657529344699707,1.00586393350523,1.1802814588330968,0.0,2.103292229346071,0.035440232301392226,4.818468129364633
IRX1,-0.021024187961949884,0.9791952795448514,0.04473120716893695,-0.10869574299806617,0.06664736707416641,0.8970032955170253,1.0689184758571726,0.0,-0.4700116382405588,0.6383467026393157,0.6475878929634136
IGF2BP1,0.10052410062078651,1.1057502906513876,0.03199910035481748,0.03780701638766139,0.16324118485391165,1.0385307941142483,1.1773206073474614,0.0,3.1414664633111338,0.0016810405968315813,9.216429718838524
DLL3,-0.003531077326446958,0.9964751495956917,0.04144834345499348,-0.08476833771708064,0.07770618306418672,0.9187250937031438,1.0808050531844946,0.0,-0.08519224249049095,0.9321085577573011,0.10143010715625042
SFTPD,-0.10462078843202977,0.9006660008023104,0.0424589460724601,-0.18783879355557992,-0.021402783308479598,0.8287482960308261,0.9788246309360183,0.0,-2.464045816245292,0.013737854960170206,6.185699431609399
PEBP4,-0.050068846981418585,0.9511639374805183,0.0399038939745149,-0.12827904201437268,0.028141348051535495,0.8796078973368366,1.028541056421408,0.0,-1.2547358664644521,0.20957466099139563,2.2544637991566963
SFTPA2,-0.054854347015232126,0.946623016380552,0.032113020231575036,-0.11779471010392531,0.008086016073461051,0.8888785116627593,1.0081187961953944,0.0,-1.7081653055260353,0.08760567413473812,3.512831874960363
GKN2,-0.0419244352106995,0.9589422401030803,0.035022197474046765,-0.11056668091928082,0.026717810497881807,0.8953266269964316,1.027077931256007,0.0,-1.1970818005285833,0.2312746728350751,2.112320811515503
SCGB3A2,-0.047889434252765206,0.95323917685303,0.02954275167367924,-0.10579216353738692,0.010013295031856509,0.8996116007402845,1.0100635958225836,0.0,-1.6210214533073344,0.10501303780879477,3.2513596392397766
CLDN18,-0.07328304356711424,0.9293377497242197,0.03453974570688274,-0.14097970118777636,-0.005586385946452124,0.8685069411780524,0.9944291888916703,0.0,-2.1217018848089295,0.03386278025595121,4.884155761230851
VSIG1,0.001720917876967605,1.001722399505936,0.03908023178661152,-0.07487492893226838,0.0783167646862036,0.9278595274535115,1.0814651743953836,0.0,0.04403550844744922,0.9648760996607795,0.05158439797938206
