covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CTSE,-0.06064699312816653,0.9411554154715334,0.039483805174059826,-0.13803382924192004,0.016739842985586964,0.8710692236358637,1.0168807392530237,0.0,-1.5359966665019043,0.1245391979195297,3.0053282020421404
TCAM1P,0.02386300561735889,1.0241500054821022,0.047695157906458896,-0.06961778611625134,0.11734379735096913,0.9327502618832347,1.124505965413809,0.0,0.5003234429826126,0.6168473497519464,0.6970145828276105
POU4F1,-0.010906647082500508,0.9891526147478243,0.05158648829482125,-0.11201430622924723,0.0902010120642462,0.894031467189743,1.0943942480436253,0.0,-0.21142449201364658,0.8325560468111841,0.264380698697651
IGF2BP3,0.17264899975696277,1.1884488860184892,0.055149656492208966,0.06455765927247763,0.2807403402414479,1.066687080872578,1.3241097412778253,0.0,3.13055439939781,0.0017447668109637055,9.162750052322663
YBX2,0.07437467562758714,1.0772103343533526,0.04986720344255342,-0.023363247129549375,0.17211259838472365,0.9769075604475725,1.1878115713487056,0.0,1.491454713582768,0.13584215248397247,2.8799968705087036
SMC1B,0.06275859840169463,1.0647697710796566,0.04358011180640657,-0.022656851181091037,0.1481740479844803,0.9775978877838017,1.1597147248089725,0.0,1.4400742861900757,0.1498463831490184,2.7384438330308565
ZYG11A,0.03302585380485341,1.0335772608006786,0.05627909415824289,-0.0772791438278412,0.14333085143754803,0.9256314332385036,1.1541115779815725,0.0,0.5868227678290783,0.5573227439971045,0.8434150647760426
MMP28,0.061269563496411696,1.0631854715558036,0.05847399053774515,-0.05333735198990471,0.1758764789827281,0.9480601285576744,1.1922907765850337,0.0,1.0478088280440172,0.29472669433721355,1.762550359013853
SP8,0.017944405804159298,1.018106374011283,0.048485423438264556,-0.07708527791001343,0.11297408951833202,0.925810899021466,1.1196029231217433,0.0,0.37009898092377236,0.7113087413958901,0.491452201708987
ATP6V0A4,-0.00975661303014829,0.9902908283044841,0.05138582094445716,-0.1104709713973083,0.09095774533701173,0.8954123223807773,1.0952227260135305,0.0,-0.18986975104852746,0.8494111964268973,0.23546496933943828
ROS1,-0.033928848234532426,0.96664028035324,0.057387913513358,-0.1464070918686136,0.07854939539954872,0.8638059832065054,1.0817167856754821,0.0,-0.591219407665604,0.5543734206324848,0.8510700055957399
C12orf56,0.06196728669567806,1.0639275395733625,0.04455527177921246,-0.02535944131297222,0.14929401470432835,0.9749594083495234,1.1610142943067299,0.0,1.3907958412362167,0.164287344575758,2.605706744368094
PRAME,0.07481037231723914,1.0776797735892236,0.033240452526049825,0.009660282536368012,0.13996046209811025,1.0097070936805779,1.1502283203436903,0.0,2.250582246394265,0.02441200891612917,5.356265167327426
COL2A1,-0.001500351194412928,0.9985007737697562,0.04737056169750798,-0.09434494604896114,0.09134424366013529,0.9099688179485291,1.0956461095738292,0.0,-0.0316726494398283,0.9747331065251917,0.036920848951067696
DLX6,0.058180561394678414,1.0599063566035496,0.048891822321781554,-0.037645649494544915,0.15400677228390175,0.9630541391567311,1.1664987866126435,0.0,1.1899855360629232,0.23405207701539849,2.095098527075182
KIF1A,-0.009345756127296437,0.9906977797207985,0.031204742815282505,-0.07050592819208516,0.05181441593749228,0.9319222148955264,1.053180270902491,0.0,-0.29949793794548946,0.7645601451483485,0.38729809729842607
CD1A,-0.026912273460662783,0.9734466348831579,0.04902056216561312,-0.1229908098071713,0.06916626288584572,0.8842717891517337,1.0716143640343412,0.0,-0.548999690573544,0.5830056621745496,0.7784181998810152
LOC440905,0.09693027528441275,1.1017835493981476,0.04306699682859739,0.012520512578061138,0.18134003799076437,1.0125992223481952,1.1988227552745996,0.0,2.2506857320510685,0.02440544908412209,5.356652890799738
IRX1,-0.03771884741979816,0.9629836481717667,0.049588957535938165,-0.13491141822112307,0.05947372338152674,0.873793310425733,1.0612778738193633,0.0,-0.7606299727608211,0.44687811208178474,1.1620467110727233
IGF2BP1,0.10046070462756944,1.1056801927354487,0.03459455744691548,0.03265661797051317,0.1682647912846257,1.0331956974861911,1.1832498834266953,0.0,2.9039453613974966,0.0036849246199744954,8.08414917728239
